cores,tamano,tiempo 
1,100000,0.128
1,100000,0.118
1,100000,0.12
1,100000,0.123
1,100000,0.119
1,100000,0.117
1,100000,0.119
1,100000,0.119
1,100000,0.13
1,100000,0.121
1,100000,0.116
1,100000,0.124
1,200000,0.082
1,200000,0.085
1,200000,0.0810001
1,200000,0.0819998
1,200000,0.0809999
1,200000,0.0780001
1,200000,0.0799999
1,200000,0.0799999
1,200000,0.082
1,200000,0.0800002
1,200000,0.079
1,200000,0.0810001
1,300000,0.146
1,300000,0.137
1,300000,0.141
1,300000,0.137
1,300000,0.139
1,300000,0.142
1,300000,0.137
1,300000,0.135
1,300000,0.137
1,300000,0.136
1,300000,0.144
1,300000,0.138
1,400000,0.527
1,400000,0.519
1,400000,0.524
1,400000,0.527
1,400000,0.521
1,400000,0.536
1,400000,0.524
1,400000,0.527
1,400000,0.552
1,400000,0.522
1,400000,0.529
1,400000,0.542
1,600000,0.21
1,600000,0.221
1,600000,0.219
1,600000,0.22
1,600000,0.217
1,600000,0.219
1,600000,0.216
1,600000,0.223
1,600000,0.216
1,600000,0.215
1,600000,0.215
1,600000,0.22
1,800000,1.094
1,800000,1.129
1,800000,1.09
1,800000,1.201
1,800000,1.153
1,800000,1.096
1,800000,1.115
1,800000,1.111
1,800000,1.092
1,800000,1.097
1,800000,1.113
1,800000,1.102
1,1000000,0.42
1,1000000,0.426
1,1000000,0.423
1,1000000,0.416
1,1000000,0.428
1,1000000,0.423
1,1000000,0.424
1,1000000,0.431
1,1000000,0.442
1,1000000,0.415
1,1000000,0.416
1,1000000,0.434
2,100000,0.0239999
2,100000,0.0240002
2,100000,0.0220001
2,100000,0.0250001
2,100000,0.0249999
2,100000,0.0210001
2,100000,0.023
2,100000,0.0239999
2,100000,0.0209999
2,100000,0.0209999
2,200000,0.164
2,200000,0.161
2,200000,0.163
2,200000,0.161
2,200000,0.163
2,200000,0.162
2,200000,0.163
2,200000,0.16
2,200000,0.156
2,200000,0.16
2,300000,0.242
2,300000,0.234
2,300000,0.233
2,300000,0.231
2,300000,0.232
2,300000,0.227
2,300000,0.241
2,300000,0.235
2,300000,0.231
2,300000,0.232
2,400000,0.0910001
2,400000,0.086
2,400000,0.079
2,400000,0.0829999
2,400000,0.0809999
2,400000,0.0830002
2,400000,0.0879998
2,400000,0.079
2,400000,0.0800002
2,400000,0.082
2,600000,0.168
2,600000,0.176
2,600000,0.172
2,600000,0.187
2,600000,0.181
2,600000,0.171
2,600000,0.18
2,600000,0.175
2,600000,0.173
2,600000,0.19
2,800000,0.191
2,800000,0.188
2,800000,0.193
2,800000,0.19
2,800000,0.197
2,800000,0.194
2,800000,0.186
2,800000,0.203
2,800000,0.205
2,800000,0.203
2,1000000,0.24
2,1000000,0.236
2,1000000,0.244
2,1000000,0.249
2,1000000,0.235
2,1000000,0.253
2,1000000,0.241
2,1000000,0.257
2,1000000,0.248
2,1000000,0.251
4,100000,0.04
4,100000,0.0409999
4,100000,0.0409999
4,100000,0.0379999
4,100000,0.039
4,100000,0.039
4,100000,0.04
4,100000,0.0380001
4,100000,0.039
4,100000,0.0369999
4,200000,0.03
4,200000,0.0320001
4,200000,0.0319998
4,200000,0.0309999
4,200000,0.0320001
4,200000,0.03
4,200000,0.0349998
4,200000,0.033
4,200000,0.0310001
4,200000,0.0349998
4,300000,0.0539999
4,300000,0.0539999
4,300000,0.056
4,300000,0.056
4,300000,0.0580001
4,300000,0.0570002
4,300000,0.0610001
4,300000,0.0609999
4,300000,0.0570002
4,300000,0.056
4,400000,0.217
4,400000,0.22
4,400000,0.22
4,400000,0.22
4,400000,0.248
4,400000,0.205
4,400000,0.212
4,400000,0.202
4,400000,0.217
4,400000,0.219
4,600000,0.121
4,600000,0.108
4,600000,0.147
4,600000,0.118
4,600000,0.123
4,600000,0.11
4,600000,0.119
4,600000,0.121
4,600000,0.115
4,600000,0.124
4,800000,0.137
4,800000,0.135
4,800000,0.138
4,800000,0.134
4,800000,0.143
4,800000,0.136
4,800000,0.132
4,800000,0.132
4,800000,0.133
4,800000,0.127
4,1000000,0.165
4,1000000,0.179
4,1000000,0.166
4,1000000,0.183
4,1000000,0.167
4,1000000,0.198
4,1000000,0.19
4,1000000,0.169
4,1000000,0.16
4,1000000,0.166
8,100000,0.0550001
8,100000,0.0509999
8,100000,0.0510001
8,100000,0.049
8,100000,0.0469999
8,100000,0.05
8,100000,0.049
8,100000,0.05
8,100000,0.053
8,100000,0.05
8,200000,0.0209999
8,200000,0.0220001
8,200000,0.023
8,200000,0.0209999
8,200000,0.023
8,200000,0.0209999
8,200000,0.0210001
8,200000,0.023
8,200000,0.023
8,200000,0.0200002
8,300000,0.085
8,300000,0.0900002
8,300000,0.0829999
8,300000,0.0930002
8,300000,0.0860002
8,300000,0.0880001
8,300000,0.086
8,300000,0.0840001
8,300000,0.089
8,300000,0.096
8,400000,0.0350001
8,400000,0.036
8,400000,0.0369999
8,400000,0.0370002
8,400000,0.033
8,400000,0.0350001
8,400000,0.0350001
8,400000,0.0350001
8,400000,0.0370002
8,400000,0.0339999
8,600000,0.137
8,600000,0.144
8,600000,0.143
8,600000,0.134
8,600000,0.145
8,600000,0.133
8,600000,0.132
8,600000,0.138
8,600000,0.133
8,600000,0.136
8,800000,0.189
8,800000,0.195
8,800000,0.204
8,800000,0.196
8,800000,0.198
8,800000,0.2
8,800000,0.203
8,800000,0.198
8,800000,0.203
8,800000,0.2
8,1000000,0.403
8,1000000,0.403
8,1000000,0.41
8,1000000,0.394
8,1000000,0.406
8,1000000,0.412
8,1000000,0.396
8,1000000,0.401
8,1000000,0.408
8,1000000,0.411
16,100000,0.0530002
16,100000,0.05
16,100000,0.0470002
16,100000,0.049
16,100000,0.0479999
16,100000,0.05
16,100000,0.0510001
16,100000,0.052
16,100000,0.049
16,100000,0.0509999
